Station,Soil_2,PARCUM,Total_Pre_all_CS,Total_EP_all_CS,Total_Ref_ET_all_CS,Total_Rice_CWR_all_CS,Total_IWR_all_CS,Mean_Ari_Index_all_CS,Num_DD,Number_DS,Mean_lenght_DS,Max_lenght_DS,Num_WD,Number_WS,Mean_Intensity,Mean_lenght_WS,Max_lenght_WS,Num_HD_Tmax,Num_HW_Tmax,Mean_lenght_HW_Tmax,Max_lenght_HW_Tmax,Num_HD_Tmin,Num_HW_Tmin,Mean_lenght_HW_Tmin,Max_lenght_HW_Tmin,Yield
1_Huila_Campoalegre,Clay_Loam,465.53,807.7,217.138,732.406,823.218,606.08,1.05,77,4,14,25,40,4,19.876,5,11,7,0,0,0,19,2,4,6,6251.7
1_Huila_Campoalegre,Clay_Loam,474.08,719.3,194.397,744.425,836.322,641.925,0.956,81,4,16,35,36,4,19.876,5,11,12,0,0,0,22,3,4,6,6141.6
1_Huila_Campoalegre,Clay_Loam,488.11,646.8,176.871,757.835,851.368,674.497,0.882,85,4,17,40,33,4,19.876,5,11,16,1,5,5,24,3,4,6,6497.3
1_Huila_Campoalegre,Clay_Loam,435.48,545.3,152.561,705.834,795.418,642.857,0.746,85,8,8,13,31,3,24.744,3,4,13,1,5,5,49,6,5,10,5758
1_Huila_Campoalegre,Clay_Loam,443.55,447.7,128.626,707.752,799.949,671.323,0.599,88,8,8,13,27,2,26.767,3,3,13,1,5,5,49,7,5,10,5980.1
1_Huila_Campoalegre,Clay_Loam,454.22,442,130.433,708.843,802.634,672.201,0.593,88,8,8,13,27,2,26.767,3,3,14,2,4,5,51,8,4,10,5995.3
1_Huila_Campoalegre,Clay_Loam,462.16,467.4,170.095,736.737,827.545,657.45,0.578,81,5,10,17,36,4,11.196,4,6,14,1,4,4,22,1,3,3,6317.9
1_Huila_Campoalegre,Clay_Loam,469.67,403.7,150.771,739.341,833.4,682.629,0.513,83,6,10,17,33,4,11.196,4,6,18,3,4,4,26,1,3,3,6232.3
1_Huila_Campoalegre,Clay_Loam,486.65,310.2,131.876,759.432,856.037,724.161,0.386,86,7,10,17,31,3,5.861,4,6,27,5,4,6,31,2,4,4,6297.3
1_Huila_Campoalegre,Clay_Loam,447.22,410.9,160.916,717.224,807.543,646.627,0.567,80,5,11,18,36,3,8.681,6,9,28,4,6,9,48,6,4,6,5926
1_Huila_Campoalegre,Clay_Loam,467.93,359.5,147.266,734.306,827.52,680.254,0.486,82,5,11,18,34,3,8.681,6,9,37,5,6,9,52,7,5,6,5940.7
1_Huila_Campoalegre,Clay_Loam,478.97,338.7,141.699,742.043,838.603,696.904,0.463,85,6,10,18,31,2,9.439,6,9,41,5,7,9,53,8,4,6,5934.2
1_Huila_Campoalegre,Clay_Loam,448.1,933.2,260.386,718.582,809.738,549.352,1.183,64,4,6,6,51,7,22.545,4,10,7,0,0,0,18,1,3,3,6078.7
1_Huila_Campoalegre,Clay_Loam,463.27,917.2,260.711,733.551,826.122,565.411,1.129,65,4,6,7,51,7,21.53,4,10,6,0,0,0,15,0,0,0,6432.8
1_Huila_Campoalegre,Clay_Loam,471.15,956.7,268.974,731.781,827.095,558.121,1.213,64,4,6,7,51,7,21.53,4,10,5,0,0,0,12,0,0,0,6583.5
1_Huila_Campoalegre,Clay_Loam,445.21,353.1,125.92,741.73,832.978,707.058,0.448,91,6,11,22,25,2,7.1,4,4,26,1,8,8,39,6,4,8,6069.5
1_Huila_Campoalegre,Clay_Loam,473.63,356.3,136.278,753.423,847.393,711.115,0.448,88,5,12,22,28,2,7.1,4,4,29,2,8,9,42,7,4,8,6488.7
1_Huila_Campoalegre,Clay_Loam,496.64,352.2,136.516,756.422,854.456,717.94,0.443,89,5,12,22,27,2,8.61,4,5,31,2,8,9,44,7,4,8,6720.8
1_Huila_Campoalegre,Clay_Loam,486.98,541.5,198.383,759.049,851.54,653.157,0.65,75,5,9,15,43,5,11.36,5,6,27,2,4,5,23,0,0,0,6815.1
1_Huila_Campoalegre,Clay_Loam,500.73,480.7,175.543,773.063,866.73,691.187,0.58,81,6,9,15,37,4,11.637,4,5,25,2,4,5,19,0,0,0,6978
1_Huila_Campoalegre,Clay_Loam,509.23,482.9,164.883,778.299,874.748,709.865,0.593,84,6,10,16,34,4,11.902,4,5,23,2,4,5,18,0,0,0,7093.4
1_Huila_Campoalegre,Clay_Loam,485.22,533.9,146.02,785.776,879.787,733.767,0.573,92,9,8,17,26,1,25.975,4,4,39,5,4,5,34,2,4,5,6394.6
1_Huila_Campoalegre,Clay_Loam,495.29,442.4,129.73,787.023,882.309,752.579,0.489,93,9,9,15,25,1,25.975,4,4,40,5,4,5,33,2,4,5,6849.4
1_Huila_Campoalegre,Clay_Loam,504.35,457,139.619,792.895,890.1,750.481,0.508,90,10,8,14,28,2,15.454,4,4,37,4,4,5,26,1,3,3,6931.4
1_Huila_Campoalegre,Clay_Loam,485.02,385,147.92,768.758,862.613,714.693,0.441,86,6,10,19,32,2,9.575,4,4,20,3,4,5,23,3,3,3,6763.1
1_Huila_Campoalegre,Clay_Loam,490.87,368.1,142.661,772.501,867.529,724.868,0.44,87,6,10,19,31,2,9.575,4,4,15,2,4,5,18,3,3,3,6911.7
1_Huila_Campoalegre,Clay_Loam,497.9,390.5,149.716,780.742,876.478,726.762,0.451,85,6,10,19,33,2,9.575,4,4,17,2,4,4,14,1,3,3,6902.5
1_Huila_Campoalegre,Clay_Loam,500.85,530.8,150.702,783.023,876.237,725.535,0.622,92,5,12,23,27,0,NA,NA,NA,26,2,6,6,26,5,3,4,6546.6
1_Huila_Campoalegre,Clay_Loam,516.25,608.5,165.959,794.278,889.799,723.84,0.693,90,6,10,23,29,1,24.5,4,4,32,2,9,12,26,5,3,4,6764.8
1_Huila_Campoalegre,Clay_Loam,538.84,571.9,157.596,817.529,914.067,756.471,0.633,92,6,10,23,28,1,24.5,4,4,39,4,7,12,29,5,3,4,7165.1
1_Huila_Campoalegre,Clay_Loam,595.78,488.9,171.661,910.71,1009.531,837.87,0.491,91,6,10,25,34,3,14.811,4,5,30,2,6,6,6,0,0,0,7855.9
1_Huila_Campoalegre,Clay_Loam,597.95,453.5,161.71,900.214,1000.047,838.337,0.461,93,5,13,25,32,2,12.283,4,5,25,1,5,5,5,0,0,0,8432.9
1_Huila_Campoalegre,Clay_Loam,605.87,398.4,141.051,888.58,990.753,849.702,0.411,96,5,14,26,28,2,12.283,4,5,24,1,5,5,6,0,0,0,8439
1_Huila_Campoalegre,Clay_Loam,564.11,618.8,210.356,871.902,969.606,759.25,0.697,84,5,9,12,41,3,14.517,4,6,21,2,4,5,13,1,3,3,7445.7
1_Huila_Campoalegre,Clay_Loam,551.66,596.6,207.97,856.172,953.6,745.63,0.693,83,5,9,12,41,3,14.517,4,6,16,1,5,5,13,1,3,3,7463.6
1_Huila_Campoalegre,Clay_Loam,542.12,585,202.833,844.946,942.636,739.803,0.69,83,6,9,12,40,3,14.517,4,6,17,1,5,5,15,1,3,3,7286.7
1_Huila_Campoalegre,Clay_Loam,577.89,583.5,184.038,883.267,982.753,798.715,0.616,88,6,10,24,37,4,20.238,4,4,23,1,5,5,14,0,0,0,7510.3
1_Huila_Campoalegre,Clay_Loam,568.34,526.7,184.63,868.737,968.317,783.687,0.567,86,5,12,24,38,4,14.171,4,4,20,1,5,5,15,0,0,0,7474.3
1_Huila_Campoalegre,Clay_Loam,562.2,592.7,193.122,863.93,963.091,769.969,0.664,86,5,12,24,38,4,14.171,4,4,22,1,5,5,17,0,0,0,7413.2
1_Huila_Campoalegre,Clay_Loam,546.56,332.2,117.994,876.034,973.369,855.375,0.332,94,10,7,10,28,0,NA,NA,NA,73,9,6,19,33,3,3,3,6994.3
1_Huila_Campoalegre,Clay_Loam,572.45,361.7,125.23,892.38,992.011,866.781,0.369,95,9,8,18,28,0,NA,NA,NA,76,8,8,29,40,6,3,4,7169
1_Huila_Campoalegre,Clay_Loam,590.17,397.4,119.824,890.758,994.306,874.482,0.448,98,10,8,18,25,0,NA,NA,NA,81,9,7,29,47,8,3,4,7059.6
1_Huila_Campoalegre,Clay_Loam,463.83,538.6,189.344,745.812,837.237,647.893,0.66,76,6,7,11,42,3,7.354,5,8,18,3,5,7,26,3,6,11,6612.8
1_Huila_Campoalegre,Clay_Loam,475.33,555.2,187.286,755.33,846.451,659.165,0.692,78,7,7,11,40,3,6.374,5,8,15,2,6,7,16,2,3,3,6909.9
1_Huila_Campoalegre,Clay_Loam,484.86,518.4,172.041,748.073,840.879,668.838,0.658,81,8,6,11,37,3,5.839,4,5,8,1,4,4,11,0,0,0,7042
1_Huila_Campoalegre,Clay_Loam,511.7,478.6,160.977,769.574,861.762,700.785,0.584,87,6,9,24,33,4,19.327,3,4,10,1,3,3,16,2,4,4,7060.1
1_Huila_Campoalegre,Clay_Loam,515.69,481.6,163.852,771.494,865.073,701.221,0.607,88,6,10,24,32,3,24.614,3,4,10,1,3,3,16,1,3,3,6824.5
1_Huila_Campoalegre,Clay_Loam,517.07,474.1,163.395,782.788,877.162,713.767,0.599,88,6,10,24,32,3,24.614,3,4,10,1,3,3,12,0,0,0,7007.1
1_Huila_Campoalegre,Clay_Loam,528.92,477.4,130.095,817.871,917.033,786.938,0.519,96,7,10,18,23,2,30.483,3,3,35,5,3,5,18,1,4,4,6976.6
1_Huila_Campoalegre,Clay_Loam,544.75,510.9,130.097,827.237,928.02,797.923,0.559,97,8,9,16,22,2,36.35,3,3,38,6,4,5,17,1,4,4,7104.3
1_Huila_Campoalegre,Clay_Loam,555.31,510.9,130.097,833.314,936.082,805.985,0.556,97,8,9,16,22,2,36.35,3,3,37,5,4,5,15,0,0,0,7160
1_Huila_Campoalegre,Clay_Loam,533.59,724.1,183.668,842.979,938.548,754.88,0.761,92,8,8,19,29,2,21.796,4,4,55,8,5,12,23,2,6,9,7131
1_Huila_Campoalegre,Clay_Loam,546.7,720.7,180.86,846.686,944.383,763.523,0.76,93,8,8,19,28,2,21.796,4,4,52,8,5,7,18,2,4,4,7312.1
1_Huila_Campoalegre,Clay_Loam,555.97,683.8,172.664,849.014,949.143,776.479,0.723,94,6,11,19,27,2,21.796,4,4,51,7,5,7,13,1,3,3,7248.3
1_Huila_Campoalegre,Clay_Loam,571.42,594.8,156.229,878.711,979.98,823.751,0.611,97,7,9,26,25,1,41.467,3,3,78,12,6,15,35,3,7,13,7230.8
1_Huila_Campoalegre,Clay_Loam,568.36,587,150.81,866.056,970.977,820.167,0.617,97,6,11,35,24,1,41.467,3,3,72,11,6,15,32,5,4,6,6986.9
1_Huila_Campoalegre,Clay_Loam,562.85,616.5,163.806,867.155,973.298,809.492,0.666,95,6,11,37,26,1,41.467,3,3,68,11,5,15,31,4,5,7,6666.4
1_Huila_Campoalegre,Clay_Loam,461.27,426.3,150.036,727.515,817.157,667.121,0.525,87,5,11,19,30,3,17.389,3,4,18,1,7,7,41,5,4,6,6376.9
1_Huila_Campoalegre,Clay_Loam,482.24,354,125.401,750.882,843.883,718.482,0.421,92,5,13,23,25,3,17.389,3,4,26,2,6,7,39,4,4,6,6834.8
1_Huila_Campoalegre,Clay_Loam,502.93,366.3,132.1,772.815,868.318,736.218,0.435,92,5,14,26,26,3,17.389,3,4,34,3,7,10,39,3,5,6,6915.7
1_Huila_Campoalegre,Clay_Loam,486.48,463,169.227,769.241,860.672,691.445,0.556,82,5,12,21,37,7,12.379,4,6,17,2,4,4,13,0,0,0,6785
1_Huila_Campoalegre,Clay_Loam,500.3,414.5,153.596,766.794,859.683,706.087,0.508,85,5,13,21,34,6,9.331,4,6,11,1,3,3,13,0,0,0,6989
1_Huila_Campoalegre,Clay_Loam,507.31,295.9,127.349,761.625,856.286,728.937,0.386,89,5,13,21,30,4,9.212,4,6,6,0,0,0,12,0,0,0,7025.2
1_Huila_Campoalegre,Clay_Loam,462.56,761.4,244.672,735.86,825.894,581.222,0.953,64,3,9,11,54,5,12.608,4,8,14,1,3,3,24,1,3,3,6561.5
1_Huila_Campoalegre,Clay_Loam,462.3,762.3,238.479,729.697,820.747,582.268,0.963,65,3,10,13,52,5,12.608,4,8,12,1,3,3,24,2,3,3,6427.1
1_Huila_Campoalegre,Clay_Loam,462.91,645.9,212.456,726.295,817.982,605.526,0.831,68,4,10,13,49,5,12.608,4,8,10,0,0,0,26,2,3,3,6084.5
1_Huila_Campoalegre,Clay_Loam,494.09,637.9,211.365,786.747,878.899,667.534,0.734,76,5,7,8,44,3,12.244,5,6,29,3,5,8,18,0,0,0,6906
1_Huila_Campoalegre,Clay_Loam,502.67,573.4,207.913,780.801,873.872,665.959,0.665,74,4,7,8,45,3,12.244,5,6,29,3,6,9,16,0,0,0,6726
1_Huila_Campoalegre,Clay_Loam,514.86,545.1,193.908,792.325,887.028,693.12,0.631,79,4,8,9,40,2,15.75,4,6,36,3,9,19,19,0,0,0,6764.4
1_Huila_Campoalegre,Clay_Loam,483.7,699.3,212.079,761.349,852.834,640.755,0.853,76,6,8,15,42,7,14.93,4,5,10,1,5,5,20,2,3,3,6996.7
1_Huila_Campoalegre,Clay_Loam,493.9,627.4,193.729,759.113,852.558,658.829,0.772,79,6,9,15,39,6,13.502,4,5,4,0,0,0,18,1,3,3,7051.4
1_Huila_Campoalegre,Clay_Loam,508.48,533.7,164.923,769.131,864.979,700.056,0.646,85,6,10,20,33,5,12.587,4,5,8,1,3,3,16,1,3,3,7108.7
1_Huila_Campoalegre,Clay_Loam,468.6,439,188.929,742.335,832.697,643.768,0.539,75,3,12,24,43,6,9.598,4,5,8,1,4,4,17,1,3,3,6644.4
1_Huila_Campoalegre,Clay_Loam,481.06,471,197.454,751.997,844.369,646.915,0.583,73,3,12,24,45,6,9.598,4,5,8,1,4,4,16,1,3,3,7026.2
1_Huila_Campoalegre,Clay_Loam,493.02,429.7,180.624,757.481,851.861,671.237,0.52,77,4,10,24,41,5,10.691,4,5,10,1,4,4,16,1,3,3,7074.7
1_Huila_Campoalegre,Clay_Loam,502.85,464,153.982,808.323,905.191,751.209,0.51,85,5,11,24,33,4,13.619,4,4,59,7,7,19,40,4,4,8,6443.9
1_Huila_Campoalegre,Clay_Loam,522.38,440.7,150.335,817.026,915.059,764.724,0.479,87,5,11,24,32,4,13.619,4,4,56,7,7,19,35,2,3,3,6861.4
1_Huila_Campoalegre,Clay_Loam,528.86,449.4,157.576,817.966,918.691,761.115,0.49,85,4,12,24,34,4,13.619,4,4,58,7,7,19,38,3,4,6,6711.2
1_Huila_Campoalegre,Clay_Loam,505.8,332.9,139.871,785.034,878.198,738.327,0.393,86,6,8,9,33,2,11.867,3,3,16,3,3,4,10,0,0,0,7017
1_Huila_Campoalegre,Clay_Loam,523.45,327.8,136.191,803.652,899.257,763.066,0.375,86,6,8,9,33,2,11.867,3,3,21,3,3,4,9,0,0,0,7286.9
1_Huila_Campoalegre,Clay_Loam,535.42,506.2,165.235,803.549,902.323,737.088,0.604,83,6,8,9,36,3,14.089,3,3,19,2,4,4,6,0,0,0,7311.5
1_Huila_Campoalegre,Clay_Loam,506.75,704.9,229.519,789.806,884.183,654.664,0.831,73,4,9,15,46,6,16.267,4,5,20,2,4,4,0,0,0,0,7040.6
1_Huila_Campoalegre,Clay_Loam,516.59,673.1,212.844,793.209,888.7,675.856,0.793,76,5,9,15,43,6,16.267,4,5,17,2,4,4,0,0,0,0,7178
1_Huila_Campoalegre,Clay_Loam,522.66,691.8,217.501,797.961,895.385,677.884,0.82,75,6,8,15,44,7,15.151,4,5,19,2,4,4,0,0,0,0,7243.9
1_Huila_Campoalegre,Sandy_Clay_Loam,467.35,807.7,217.138,732.406,823.218,606.08,1.05,77,4,14,25,40,4,19.876,5,11,7,0,0,0,19,2,4,6,6304.8
1_Huila_Campoalegre,Sandy_Clay_Loam,475.91,719.3,194.397,744.425,836.322,641.925,0.956,81,4,16,35,36,4,19.876,5,11,12,0,0,0,22,3,4,6,6193.7
1_Huila_Campoalegre,Sandy_Clay_Loam,490.08,646.8,176.871,757.835,851.368,674.497,0.882,85,4,17,40,33,4,19.876,5,11,16,1,5,5,24,3,4,6,6555.6
1_Huila_Campoalegre,Sandy_Clay_Loam,437.19,545.3,152.561,705.834,795.418,642.857,0.746,85,8,8,13,31,3,24.744,3,4,13,1,5,5,49,6,5,10,5794.1
1_Huila_Campoalegre,Sandy_Clay_Loam,445.44,447.7,128.626,707.752,799.949,671.323,0.599,88,8,8,13,27,2,26.767,3,3,13,1,5,5,49,7,5,10,6020.1
1_Huila_Campoalegre,Sandy_Clay_Loam,456.27,442,130.433,708.843,802.634,672.201,0.593,88,8,8,13,27,2,26.767,3,3,14,2,4,5,51,8,4,10,6036.5
1_Huila_Campoalegre,Sandy_Clay_Loam,464.05,467.4,170.095,736.737,827.545,657.45,0.578,81,5,10,17,36,4,11.196,4,6,14,1,4,4,22,1,3,3,6362.7
1_Huila_Campoalegre,Sandy_Clay_Loam,471.8,403.7,150.771,739.341,833.4,682.629,0.513,83,6,10,17,33,4,11.196,4,6,18,3,4,4,26,1,3,3,6277.9
1_Huila_Campoalegre,Sandy_Clay_Loam,489,310.2,131.876,759.432,856.037,724.161,0.386,86,7,10,17,31,3,5.861,4,6,27,5,4,6,31,2,4,4,6344.5
1_Huila_Campoalegre,Sandy_Clay_Loam,449.11,410.9,160.916,717.224,807.543,646.627,0.567,80,5,11,18,36,3,8.681,6,9,28,4,6,9,48,6,4,6,5962.3
1_Huila_Campoalegre,Sandy_Clay_Loam,470.01,359.5,147.266,734.306,827.52,680.254,0.486,82,5,11,18,34,3,8.681,6,9,37,5,6,9,52,7,5,6,5979.2
1_Huila_Campoalegre,Sandy_Clay_Loam,481.22,338.7,141.699,742.043,838.603,696.904,0.463,85,6,10,18,31,2,9.439,6,9,41,5,7,9,53,8,4,6,5973.4
1_Huila_Campoalegre,Sandy_Clay_Loam,450.38,933.2,260.386,718.582,809.738,549.352,1.183,64,4,6,6,51,7,22.545,4,10,7,0,0,0,18,1,3,3,6129.5
1_Huila_Campoalegre,Sandy_Clay_Loam,465.38,917.2,260.711,733.551,826.122,565.411,1.129,65,4,6,7,51,7,21.53,4,10,6,0,0,0,15,0,0,0,6485.2
1_Huila_Campoalegre,Sandy_Clay_Loam,473.6,956.7,268.974,731.781,827.095,558.121,1.213,64,4,6,7,51,7,21.53,4,10,5,0,0,0,12,0,0,0,6644.2
1_Huila_Campoalegre,Sandy_Clay_Loam,447.05,353.1,125.92,741.73,832.978,707.058,0.448,91,6,11,22,25,2,7.1,4,4,26,1,8,8,39,6,4,8,6108.7
1_Huila_Campoalegre,Sandy_Clay_Loam,475.79,356.3,136.278,753.423,847.393,711.115,0.448,88,5,12,22,28,2,7.1,4,4,29,2,8,9,42,7,4,8,6540.6
1_Huila_Campoalegre,Sandy_Clay_Loam,499.43,352.2,136.516,756.422,854.456,717.94,0.443,89,5,12,22,27,2,8.61,4,5,31,2,8,9,44,7,4,8,6785
1_Huila_Campoalegre,Sandy_Clay_Loam,489.44,541.5,198.383,759.049,851.54,653.157,0.65,75,5,9,15,43,5,11.36,5,6,27,2,4,5,23,0,0,0,6888.3
1_Huila_Campoalegre,Sandy_Clay_Loam,503.41,480.7,175.543,773.063,866.73,691.187,0.58,81,6,9,15,37,4,11.637,4,5,25,2,4,5,19,0,0,0,7063.4
1_Huila_Campoalegre,Sandy_Clay_Loam,511.26,482.9,164.883,778.299,874.748,709.865,0.593,84,6,10,16,34,4,11.902,4,5,23,2,4,5,18,0,0,0,7170.3
1_Huila_Campoalegre,Sandy_Clay_Loam,487.47,533.9,146.02,785.776,879.787,733.767,0.573,92,9,8,17,26,1,25.975,4,4,39,5,4,5,34,2,4,5,6465.1
1_Huila_Campoalegre,Sandy_Clay_Loam,497.56,442.4,129.73,787.023,882.309,752.579,0.489,93,9,9,15,25,1,25.975,4,4,40,5,4,5,33,2,4,5,6923
1_Huila_Campoalegre,Sandy_Clay_Loam,506.53,457,139.619,792.895,890.1,750.481,0.508,90,10,8,14,28,2,15.454,4,4,37,4,4,5,26,1,3,3,6996.9
1_Huila_Campoalegre,Sandy_Clay_Loam,487.23,385,147.92,768.758,862.613,714.693,0.441,86,6,10,19,32,2,9.575,4,4,20,3,4,5,23,3,3,3,6837.7
1_Huila_Campoalegre,Sandy_Clay_Loam,493,368.1,142.661,772.501,867.529,724.868,0.44,87,6,10,19,31,2,9.575,4,4,15,2,4,5,18,3,3,3,6982
1_Huila_Campoalegre,Sandy_Clay_Loam,500,390.5,149.716,780.742,876.478,726.762,0.451,85,6,10,19,33,2,9.575,4,4,17,2,4,4,14,1,3,3,6970.1
1_Huila_Campoalegre,Sandy_Clay_Loam,502.77,530.8,150.702,783.023,876.237,725.535,0.622,92,5,12,23,27,0,NA,NA,NA,26,2,6,6,26,5,3,4,6613.2
1_Huila_Campoalegre,Sandy_Clay_Loam,518.67,608.5,165.959,794.278,889.799,723.84,0.693,90,6,10,23,29,1,24.5,4,4,32,2,9,12,26,5,3,4,6839.4
1_Huila_Campoalegre,Sandy_Clay_Loam,541.93,571.9,157.596,817.529,914.067,756.471,0.633,92,6,10,23,28,1,24.5,4,4,39,4,7,12,29,5,3,4,7255.4
1_Huila_Campoalegre,Sandy_Clay_Loam,599.39,488.9,171.661,910.71,1009.531,837.87,0.491,91,6,10,25,34,3,14.811,4,5,30,2,6,6,6,0,0,0,8094.4
1_Huila_Campoalegre,Sandy_Clay_Loam,601.65,453.5,161.71,900.214,1000.047,838.337,0.461,93,5,13,25,32,2,12.283,4,5,25,1,5,5,5,0,0,0,8734.6
1_Huila_Campoalegre,Sandy_Clay_Loam,610.63,398.4,141.051,888.58,990.753,849.702,0.411,96,5,14,26,28,2,12.283,4,5,24,1,5,5,6,0,0,0,8709
1_Huila_Campoalegre,Sandy_Clay_Loam,567.47,618.8,210.356,871.902,969.606,759.25,0.697,84,5,9,12,41,3,14.517,4,6,21,2,4,5,13,1,3,3,7690.6
1_Huila_Campoalegre,Sandy_Clay_Loam,554.54,596.6,207.97,856.172,953.6,745.63,0.693,83,5,9,12,41,3,14.517,4,6,16,1,5,5,13,1,3,3,7655.8
1_Huila_Campoalegre,Sandy_Clay_Loam,544.24,585,202.833,844.946,942.636,739.803,0.69,83,6,9,12,40,3,14.517,4,6,17,1,5,5,15,1,3,3,7393.2
1_Huila_Campoalegre,Sandy_Clay_Loam,581.07,583.5,184.038,883.267,982.753,798.715,0.616,88,6,10,24,37,4,20.238,4,4,23,1,5,5,14,0,0,0,7727.1
1_Huila_Campoalegre,Sandy_Clay_Loam,571.66,526.7,184.63,868.737,968.317,783.687,0.567,86,5,12,24,38,4,14.171,4,4,20,1,5,5,15,0,0,0,7688.7
1_Huila_Campoalegre,Sandy_Clay_Loam,565.09,592.7,193.122,863.93,963.091,769.969,0.664,86,5,12,24,38,4,14.171,4,4,22,1,5,5,17,0,0,0,7552.7
1_Huila_Campoalegre,Sandy_Clay_Loam,548.5,332.2,117.994,876.034,973.369,855.375,0.332,94,10,7,10,28,0,NA,NA,NA,73,9,6,19,33,3,3,3,7071.3
1_Huila_Campoalegre,Sandy_Clay_Loam,575.16,361.7,125.23,892.38,992.011,866.781,0.369,95,9,8,18,28,0,NA,NA,NA,76,8,8,29,40,6,3,4,7247
1_Huila_Campoalegre,Sandy_Clay_Loam,593,397.4,119.824,890.758,994.306,874.482,0.448,98,10,8,18,25,0,NA,NA,NA,81,9,7,29,47,8,3,4,7144.3
1_Huila_Campoalegre,Sandy_Clay_Loam,465.64,538.6,189.344,745.812,837.237,647.893,0.66,76,6,7,11,42,3,7.354,5,8,18,3,5,7,26,3,6,11,6668.8
1_Huila_Campoalegre,Sandy_Clay_Loam,477.37,555.2,187.286,755.33,846.451,659.165,0.692,78,7,7,11,40,3,6.374,5,8,15,2,6,7,16,2,3,3,6978.7
1_Huila_Campoalegre,Sandy_Clay_Loam,487,518.4,172.041,748.073,840.879,668.838,0.658,81,8,6,11,37,3,5.839,4,5,8,1,4,4,11,0,0,0,7116.5
1_Huila_Campoalegre,Sandy_Clay_Loam,514.35,478.6,160.977,769.574,861.762,700.785,0.584,87,6,9,24,33,4,19.327,3,4,10,1,3,3,16,2,4,4,7164.2
1_Huila_Campoalegre,Sandy_Clay_Loam,518.82,481.6,163.852,771.494,865.073,701.221,0.607,88,6,10,24,32,3,24.614,3,4,10,1,3,3,16,1,3,3,6943
1_Huila_Campoalegre,Sandy_Clay_Loam,520.18,474.1,163.395,782.788,877.162,713.767,0.599,88,6,10,24,32,3,24.614,3,4,10,1,3,3,12,0,0,0,7124.4
1_Huila_Campoalegre,Sandy_Clay_Loam,531.08,477.4,130.095,817.871,917.033,786.938,0.519,96,7,10,18,23,2,30.483,3,3,35,5,3,5,18,1,4,4,7051
1_Huila_Campoalegre,Sandy_Clay_Loam,547.52,510.9,130.097,827.237,928.02,797.923,0.559,97,8,9,16,22,2,36.35,3,3,38,6,4,5,17,1,4,4,7202.7
1_Huila_Campoalegre,Sandy_Clay_Loam,559.31,510.9,130.097,833.314,936.082,805.985,0.556,97,8,9,16,22,2,36.35,3,3,37,5,4,5,15,0,0,0,7290.9
1_Huila_Campoalegre,Sandy_Clay_Loam,535.69,724.1,183.668,842.979,938.548,754.88,0.761,92,8,8,19,29,2,21.796,4,4,55,8,5,12,23,2,6,9,7219.1
1_Huila_Campoalegre,Sandy_Clay_Loam,548.66,720.7,180.86,846.686,944.383,763.523,0.76,93,8,8,19,28,2,21.796,4,4,52,8,5,7,18,2,4,4,7397.2
1_Huila_Campoalegre,Sandy_Clay_Loam,558.26,683.8,172.664,849.014,949.143,776.479,0.723,94,6,11,19,27,2,21.796,4,4,51,7,5,7,13,1,3,3,7335.7
1_Huila_Campoalegre,Sandy_Clay_Loam,575.32,594.8,156.229,878.711,979.98,823.751,0.611,97,7,9,26,25,1,41.467,3,3,78,12,6,15,35,3,7,13,7356.5
1_Huila_Campoalegre,Sandy_Clay_Loam,571.31,587,150.81,866.056,970.977,820.167,0.617,97,6,11,35,24,1,41.467,3,3,72,11,6,15,32,5,4,6,7086.5
1_Huila_Campoalegre,Sandy_Clay_Loam,565.38,616.5,163.806,867.155,973.298,809.492,0.666,95,6,11,37,26,1,41.467,3,3,68,11,5,15,31,4,5,7,6746.3
1_Huila_Campoalegre,Sandy_Clay_Loam,463.31,426.3,150.036,727.515,817.157,667.121,0.525,87,5,11,19,30,3,17.389,3,4,18,1,7,7,41,5,4,6,6425.4
1_Huila_Campoalegre,Sandy_Clay_Loam,484.41,354,125.401,750.882,843.883,718.482,0.421,92,5,13,23,25,3,17.389,3,4,26,2,6,7,39,4,4,6,6899.6
1_Huila_Campoalegre,Sandy_Clay_Loam,505.27,366.3,132.1,772.815,868.318,736.218,0.435,92,5,14,26,26,3,17.389,3,4,34,3,7,10,39,3,5,6,6973.2
1_Huila_Campoalegre,Sandy_Clay_Loam,488.19,463,169.227,769.241,860.672,691.445,0.556,82,5,12,21,37,7,12.379,4,6,17,2,4,4,13,0,0,0,6851
1_Huila_Campoalegre,Sandy_Clay_Loam,502.39,414.5,153.596,766.794,859.683,706.087,0.508,85,5,13,21,34,6,9.331,4,6,11,1,3,3,13,0,0,0,7068.5
1_Huila_Campoalegre,Sandy_Clay_Loam,509.76,295.9,127.349,761.625,856.286,728.937,0.386,89,5,13,21,30,4,9.212,4,6,6,0,0,0,12,0,0,0,7108.7
1_Huila_Campoalegre,Sandy_Clay_Loam,464.48,761.4,244.672,735.86,825.894,581.222,0.953,64,3,9,11,54,5,12.608,4,8,14,1,3,3,24,1,3,3,6622.8
1_Huila_Campoalegre,Sandy_Clay_Loam,463.95,762.3,238.479,729.697,820.747,582.268,0.963,65,3,10,13,52,5,12.608,4,8,12,1,3,3,24,2,3,3,6478.4
